part_number,description,unit,category,related_equipment,par_level
92221134,2.5 GAL PICKUP PROBE ASSY,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
53002861,2.5GAL CBTNR PU PRB ASSY,Each,Equipment,EQUIPMENT AND SPARE PARTS,30
85786087,ADPTR BAG 1/4 BARB PP BLK,Each,Equipment,EQUIPMENT AND SPARE PARTS,19
92581007,ADV LNDRY 4PMP 115V PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,1
53005341,ADV LNDRY CONTROLLER W/BT V2 PKD,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
96522104,AIRGAP OMEGA5E DISHMACH MLD,Each,Equipment,WAREWASHING EQUIPMENT,2
92302055,APEX SNSR W/12FT CA 200K,Each,Equipment,WAREWASHING EQUIPMENT,9
96557475,BALL PL DRN,Each,Equipment,EQUIPMENT AND SPARE PARTS,20
96582252,BAR PAWL CONN ASSY,Each,Equipment,WAREWASHING EQUIPMENT,17
96022272,BAR RLR PAWL ES4400,Each,Equipment,WAREWASHING EQUIPMENT,55
87490000,BLT EYE 1/4-20X5 LG 304SS,Each,Equipment,WAREWASHING EQUIPMENT,9
53001856,BRAIN 250/PATHWAYS INSTLKIT,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
96566112,BRG ECC CAM 1-1/4OD,Each,Equipment,WAREWASHING EQUIPMENT,9
90011055,BRKT EZ SYSTEM 4PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
86145646,BSHG 3/4X1/2 BRS,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92652395,BTL SPY 24OZ ECL 12PK,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92332949,BTRY PAK 15VDC SYS ELEC,Each,Equipment,EQUIPMENT AND SPARE PARTS,7
92631970,BULK HAND CARE DISP 1PK,Each,Equipment,HAND AND SKIN HYGIENE,5
83241273,CA 20/4,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92582311,CA DB9 CONN TSTAR XP 20FT,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
83109140,CA TIE SELF-CLINCH BLK,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020001,CAP ADPTR 1/4 KL1 EPDM GRN,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020014,CAP ADPTR 1/4 KL1 VTN 90 VIO,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020006,CAP ADPTR 1/4 KL3 EPDM GRA,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020010,CAP ADPTR 1/4 KL3 EPDM PNK,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020002,CAP ADPTR 1/4 KL3 VTN YEL,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020003,CAP ADPTR 1/4 KL4 EPDM BLU,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020004,CAP ADPTR 1/4 KL5 EPDM LT GRN,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020011,CAP ADPTR 1/4 KL5 VTN 90 DK GRN,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020000,CAP ADPTR 1/4 KL6 EPDM RED,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
86020009,CAP ADPTR 1/4 KL7 EPDM PRP,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
53005189,CH WL RAPID MSDC,Each,Equipment,EQUIPMENT AND SPARE PARTS,7
96572573,CHEM TUB STIFFENER UNIVERSAL,Each,Equipment,WAREWASHING EQUIPMENT,2
92633817,CHL TEST PAPER 100PCS,Each,Equipment,EQUIPMENT AND SPARE PARTS,9
92232138,CHT WL APEX DISHMACHINE,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92232139,CHT WL APEX POT&PAN,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
96582741,CHT WL CHLOR SNTZR TESTPROC,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
92652154,CHT WL DISHMACHINE CHG WTR,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92232036,CHT WL FLEX PAK SCOUT,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
53005326,CHT WL GREASELIFT&FRYR CLNR BAG&DISP,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92153175,CHT WL KYSTN HAND WASH,Each,Equipment,EQUIPMENT AND SPARE PARTS,8
92153177,CHT WL KYSTN POT & PAN,Each,Equipment,EQUIPMENT AND SPARE PARTS,2
92592423,CHT WL LNDRY FORMULA,Each,Equipment,EQUIPMENT AND SPARE PARTS,4
92592424,CHT WL LNDRY OPNS FLOW TRNG,Each,Equipment,EQUIPMENT AND SPARE PARTS,3
